RowID,Service,Service Center,State,Postal Code,Address,Latitude,Longitude,Service Details URL,Data As On
SVC1000,Miscellaneous,Bromelton Energy & Resource Centre,QLD,4285,"Lot 1 Beaudesert-Boonah Road, Bromelton QLD",-27.975059190727382,152.92509487274305,https://www.cleanaway.com.au/location/bromelton-energy-and-resource-centre/,2024-08-09 13:06:37
SVC1001,Solid waste services,Albany Material Recovery Facility,WA,6330,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.01078332713777,117.8633163813148,https://www.cleanaway.com.au/location/albany/,2024-08-09 13:06:40
SVC1001,Office,Albany Material Recovery Facility,WA,6330,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.01078332713777,117.8633163813148,https://www.cleanaway.com.au/location/albany/,2024-08-09 13:06:40
SVC1002,Solid waste services,Albury-Wodonga Solid Waste Services,NSW,2641,"26 Reiff St, Lavington, NSW, 2641",-36.037913,146.964581,https://www.cleanaway.com.au/location/lavington/,2024-08-09 13:06:46
SVC1003,Solid waste services,Alexandra Solid Waste Services,VIC,3714,"4-8 Station Street, Alexandra, VIC, 3714",-37.183192,145.712031,https://www.cleanaway.com.au/location/alexandra/,2024-08-09 13:06:51
SVC1004,Solid waste services,Cleanaway Alice Springs Solid Waste Depot,NT,0870,"6 Wilkinson Street, Ciccone, NT, 0870",-23.700021,133.871345,https://www.cleanaway.com.au/location/alice-springs/,2024-08-09 13:06:57
SVC1005,Solid waste services,Cleanaway Allerton Road Albany Solid Waste Depot,WA,6330,"12 Allerton Road, Albany, WA, 6330",-35.019758,117.842441,https://www.cleanaway.com.au/location/albany-2/,2024-08-09 13:07:02
SVC1006,Solid waste services,Cleanaway Altona - Solid Waste Services,VIC,3018,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.850366199805535,144.78138768865674,https://www.cleanaway.com.au/location/altona/,2024-08-09 13:07:05
SVC1006,Office,Cleanaway Altona - Solid Waste Services,VIC,3018,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.850366199805535,144.78138768865674,https://www.cleanaway.com.au/location/altona/,2024-08-09 13:07:05
SVC1007,Solid waste services,Cleanaway Armidale - Solid Waste Services,NSW,2350,"288 Mann St, Armidale, NSW, 2350",-30.51527835194161,151.64309622948613,https://www.cleanaway.com.au/location/armidale/,2024-08-09 13:07:08
SVC1008,Solid waste services,Artarmon Resource Recovery Centre,NSW,2064,"12 Lancely Place, Artarmon. NSW 2064",-33.81941739932726,151.18695141885684,https://www.cleanaway.com.au/location/cleanaway-artarmon-resource-recovery-centre/,2024-08-09 13:07:12
SVC1009,Solid waste services,Cleanaway Ashmore Solid Waste Services,QLD,4214,"50-60 Harper St, Molendinar QLD 4214",-27.9851011151081,153.36123030773044,https://www.cleanaway.com.au/location/ashmore/,2024-08-09 13:07:18
SVC1010,Solid waste services,Auburn Resource Recovery Centre,NSW,2217,"Old Hill Link, Sydney Olympic Park, NSW 2217",-33.84398343886091,151.05823444596416,https://www.cleanaway.com.au/location/cleanaway-auburn-resource-recovery-centre/,2024-08-09 13:07:22
SVC1011,Solid waste services,Cleanaway Ayr - Solid Waste Services,QLD,4807,"Mackenzie Street, Ayr, QLD, 4807",-19.56460801156244,147.38776649026067,https://www.cleanaway.com.au/location/ayr/,2024-08-09 13:07:27
