id,service_name,address,latitude,longitude,services_offered,details_url,scrape_ts,state,postcode
SVC1190,Cleanaway Tamworth - Solid Waste Services,"13 Anson Street, Taminda, NSW, 2340",-31.089898679901008,150.91054136266985,Solid waste services,https://www.cleanaway.com.au/location/tamworth/,2024-07-26 00:32:46,NSW,2340
SVC1191,Cleanaway Thomastown Grease Trap Services,"11 Chaffey Street, Thomastown, VIC, 3074",-37.68991455100399,145.00463870412375,Liquid waste services,https://www.cleanaway.com.au/location/thomastown/,2024-07-26 00:32:54,VIC,3074
SVC1192,Thurla,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.33924442041548,142.0981279276598,Office,https://www.cleanaway.com.au/location/thurla/,2024-07-26 00:33:00,VIC,3496
SVC1193,Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.33924552522761,142.09812723192783,Transfer Station,https://www.cleanaway.com.au/location/thurla-solid-waste-services/,2024-07-26 00:33:08,VIC,3496
SVC1193,Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.33924552522761,142.09812723192783,Office,https://www.cleanaway.com.au/location/thurla-solid-waste-services/,2024-07-26 00:33:08,VIC,3496
SVC1193,Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.33924552522761,142.09812723192783,Public Waste Drop-off,https://www.cleanaway.com.au/location/thurla-solid-waste-services/,2024-07-26 00:33:08,VIC,3496
SVC1193,Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.33924552522761,142.09812723192783,Commercial Waste Drop-off,https://www.cleanaway.com.au/location/thurla-solid-waste-services/,2024-07-26 00:33:08,VIC,3496
SVC1194,Cleanaway Toowoomba – Liquid Waste Services,"27-35 Wilkinson St, Toowoomba, QLD, 4350",-27.536491358819948,151.9509750038121,Liquid waste services,https://www.cleanaway.com.au/location/toowoomba/,2024-07-26 00:33:15,QLD,4350
SVC1195,Cleanaway Townsville NQRR,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254110478190437,146.71308489997946,Miscellaneous,https://www.cleanaway.com.au/location/townsville-nqrr/,2024-07-26 00:33:23,QLD,4818
SVC1196,Cleanaway Tullamarine Solid Waste Depot,"206-300 Western Avenue, Tullamarine, VIC, 3043",-37.67575651293539,144.86538768532327,Solid waste services,https://www.cleanaway.com.au/location/tullamarine/,2024-07-26 00:33:32,VIC,3043
SVC1196,Cleanaway Tullamarine Solid Waste Depot,"206-300 Western Avenue, Tullamarine, VIC, 3043",-37.67575651293539,144.86538768532327,Office,https://www.cleanaway.com.au/location/tullamarine/,2024-07-26 00:33:32,VIC,3043
SVC1197,Cleanaway Unanderra – Medical Waste Services,"10-14 Industrial Road, Unanderra, NSW, 2526",-34.463930429547275,150.85618033057716,Miscellaneous,https://www.cleanaway.com.au/location/industrial-road-unanderra/,2024-07-26 00:33:37,NSW,2526
SVC1198,Cleanaway Unanderra Waste Depot - Solid Waste Services,"5 Charcoal Close, Unanderra, NSW, 2526",-34.45884306921514,150.8530455657857,Solid waste services,https://www.cleanaway.com.au/location/unanderra/,2024-07-26 00:33:43,NSW,2526
SVC1199,Cleanaway Unanderra Waynote Place Industrial Services,"10-12 Waynote Place, Unanderra, NSW, 2526",-34.460265,150.8633155,Liquid waste services,https://www.cleanaway.com.au/location/unanderra-3/,2024-07-26 00:33:49,NSW,2526
SVC1199,Cleanaway Unanderra Waynote Place Industrial Services,"10-12 Waynote Place, Unanderra, NSW, 2526",-34.460265,150.8633155,Industrial waste services,https://www.cleanaway.com.au/location/unanderra-3/,2024-07-26 00:33:49,NSW,2526
SVC1199,Cleanaway Unanderra Waynote Place Industrial Services,"10-12 Waynote Place, Unanderra, NSW, 2526",-34.460265,150.8633155,Office,https://www.cleanaway.com.au/location/unanderra-3/,2024-07-26 00:33:49,NSW,2526
SVC1200,Cleanaway Wagga Wagga - Solid Waste Services,"9 Schiller Street, Wagga Wagga NSW 2650 Australia",-35.12764190922321,147.4136964940244,Solid waste services,https://www.cleanaway.com.au/location/wagga-wagga/,2024-07-26 00:33:59,NSW,2650
SVC1201,Cleanaway Warooka Waste Transfer Station & Recycling Centre,"Tuckokcowie Road, Warooka, SA, 5577",-34.991525609567866,137.42958691778773,Miscellaneous,https://www.cleanaway.com.au/location/warooka-sa/,2024-07-26 00:34:04,SA,5577
SVC1202,Cleanaway Warrnambool Bin Hire and Waste Drop Off,"355 Koroit Street, Warrnambool VIC 3280",-38.37571400011774,142.46415810075274,Miscellaneous,https://www.cleanaway.com.au/location/warrnambool/,2024-07-26 00:34:07,VIC,3280
SVC1203,Cleanaway Wetherill Park Waste Motor Oil Recycling,"6 Davis Road/2 Wenban Place, Wetherill Park, NSW, 2164",-33.837152894458214,150.90440315644275,Miscellaneous,https://www.cleanaway.com.au/location/wetherill-park/,2024-07-26 00:34:16,NSW,2164
SVC1204,Cleanaway Whyalla One Steel - Industrial Waste Services,"27 Bowers Court, Whyalla Barson, SA, 5601",-33.008009,137.572109,Industrial waste services,https://www.cleanaway.com.au/location/whyalla-one-steel-cleanaway/,2024-07-26 00:34:21,SA,5601
SVC1205,Cleanaway Whyalla Playford Industrial Services,"132B Norrie Avenue, Whyalla, SA, 5600",-33.038010670814074,137.55243296595594,Liquid waste services,https://www.cleanaway.com.au/location/whyalla/,2024-07-26 00:34:26,SA,5600
SVC1206,Cleanaway Willawong Recycling & Transfer Station,"343 Bowhill Road, Willawong, QLD, 4068",-27.58283611493861,152.99688907576672,Solid waste services,https://www.cleanaway.com.au/location/willawong/,2024-07-26 00:34:34,QLD,4068
SVC1207,Cleanaway Wingfield – Liquid Waste Services,"20 George Street, Wingfield, SA, 5013",-34.83475550287251,138.56438246007562,Liquid waste services,https://www.cleanaway.com.au/location/wingfield-2/,2024-07-26 00:34:37,SA,5013
SVC1207,Cleanaway Wingfield – Liquid Waste Services,"20 George Street, Wingfield, SA, 5013",-34.83475550287251,138.56438246007562,Office,https://www.cleanaway.com.au/location/wingfield-2/,2024-07-26 00:34:37,SA,5013
SVC1208,Wingfield Resource Recovery Centre,"Hanson Road, Wingfield, SA 5013",-34.83065925891953,138.54731182037293,Transfer Station,https://www.cleanaway.com.au/location/wingfield/,2024-07-26 00:34:44,SA,5013
SVC1209,Cleanaway Wodonga Industrial Waste Services,"2/9 Romet Road, Wodonga, VIC, 3690",-36.11166500739213,146.85815657030102,Industrial waste services,https://www.cleanaway.com.au/location/wodonga/,2024-07-26 00:34:50,VIC,3690
SVC1210,Cleanaway Wyong Solid Waste Depot,"1 Amsterdam Circuit, Wyong, NSW, 2259",-33.264526357566275,151.45145710619676,Solid waste services,https://www.cleanaway.com.au/location/wyong/,2024-07-26 00:34:55,NSW,2259
SVC1210,Cleanaway Wyong Solid Waste Depot,"1 Amsterdam Circuit, Wyong, NSW, 2259",-33.264526357566275,151.45145710619676,Office,https://www.cleanaway.com.au/location/wyong/,2024-07-26 00:34:55,NSW,2259
SVC1211,Cleanaway Yatala Liquid Waste Services,"29 Binary St, Yatala, QLD, 4207",-27.75764941916953,153.23397267269092,Liquid waste services,https://www.cleanaway.com.au/location/yatala/,2024-07-26 00:35:01,QLD,4207
SVC1212,Cleanaway Young Solid Waste Services,"20 Chillingworks Rd, Young, NSW, 2594",-34.30134824214955,148.2713198766994,Solid waste services,https://www.cleanaway.com.au/location/young-nsw/,2024-07-26 00:35:11,NSW,2594
SVC1213,Melbourne Energy & Resource Centre,"510 Summerhill Road, Wollert VIC 3750",-37.57592265294685,144.97817345499203,Miscellaneous,https://www.cleanaway.com.au/location/melbourne-energy-and-resource-centre/,2024-07-26 00:35:17,VIC,3750
